FIRST,FITS,RAJ2000,DEJ2000,p(S),Fpeak,Fint,Rms,Maj,Min,PA,N1,c1,N2,Ep,Ep(JD),s_Ep(JD)
J100040.0+105620,FITS,10 00 40.092,+10 56 20.01,0.014,6.45,9.9,0.146,5.0,2.8,12.6,0,,0,2000.028,2451554.8,0.787
J100040.0+105612,FITS,10 00 40.000,+10 56 12.53,0.014,9.55,12.34,0.146,3.3,2.5,20.8,0,,0,2000.028,2451554.8,0.79
J100308.6+105048,FITS,10 03 08.657,+10 50 48.18,0.014,46.87,92.82,0.135,9.1,0.8,51.6,1,s,0,2000.028,2451554.9,0.373
J100034.7+104405,FITS,10 00 34.768,+10 44 05.32,0.014,3.94,6.13,0.15,6.18,1.2,41.5,3,g,0,2000.03,2451555.6,0.965
J100121.5+103749,FITS,10 01 21.571,+10 37 49.88,0.014,16.58,26.74,0.136,5.92,2.31,112.2,2,g,0,2000.034,2451556.8,0.355
J100219.8+103749,FITS,10 02 19.834,+10 37 49.58,0.014,45.34,50.76,0.152,2.46,1.06,99.1,1,g,0,2000.031,2451555.8,0.981
J100220.3+103748,FITS,10 02 20.371,+10 37 48.38,0.014,27.47,30.78,0.152,2.5,1.01,116.3,0,,0,2000.031,2451555.8,0.981
J100150.9+103548,FITS,10 01 50.983,+10 35 48.79,0.014,3.03,8.26,0.141,11.96,2.76,49.0,1,g,0,2000.033,2451556.7,0.9
J100345.7+102837,FITS,10 03 45.710,+10 28 37.67,0.014,3.07,7.69,0.152,7.52,5.76,80.7,0,,0,2000.032,2451556.2,1.81
J100343.5+102737,FITS,10 03 43.592,+10 27 37.98,0.014,10.81,16.78,0.151,5.12,2.8,37.3,0,,0,2000.032,2451556.2,1.878
J100107.4+102407,FITS,10 01 07.402,+10 24 07.95,0.014,6.31,9.35,0.15,5.44,1.63,148.8,1,g,0,2000.037,2451558.2,2.081
J100010.8+102212,FITS,10 00 10.871,+10 22 12.29,0.014,14.25,20.94,0.134,5.33,1.66,50.0,0,,0,2000.03,2451555.5,1.58
J100013.5+102201,FITS,10 00 13.523,+10 22 01.27,0.014,9.43,10.8,0.135,2.76,1.07,147.3,0,,0,2000.03,2451555.5,1.678
J100015.5+102124,FITS,10 00 15.516,+10 21 24.23,0.014,5.52,7.59,0.137,4.69,1.49,151.0,1,g,0,2000.031,2451555.7,1.829
J100342.8+102033,FITS,10 03 42.806,+10 20 33.13,0.014,8.05,17.14,0.152,6.49,5.0,5.6,0,,0,2000.035,2451557.3,2.435
J100342.0+101946,FITS,10 03 42.097,+10 19 46.68,0.014,37.69,59.31,0.155,5.2,2.88,4.9,1,g,0,2000.035,2451557.5,2.474
J100340.3+101945,FITS,10 03 40.380,+10 19 45.21,0.014,17.96,21.12,0.154,2.61,1.88,155.1,0,,0,2000.035,2451557.4,2.477
J100339.4+101936,FITS,10 03 39.432,+10 19 36.59,0.014,24.97,26.76,0.154,1.93,0.73,39.7,1,s,0,2000.035,2451557.3,2.476
J100339.0+101931,FITS,10 03 39.042,+10 19 31.21,0.014,42.87,49.24,0.154,2.55,1.51,14.0,1,g,0,2000.035,2451557.3,2.476
J100322.2+101700,FITS,10 03 22.276,+10 17 00.52,0.014,3.28,11.16,0.153,8.52,8.24,7.9,0,,0,2000.034,2451557.0,2.453
J100322.1+101649,FITS,10 03 22.158,+10 16 49.65,0.014,14.38,20.66,0.154,4.85,2.04,161.6,2,g,1,2000.034,2451557.1,2.459
J100322.4+101642,FITS,10 03 22.486,+10 16 42.73,0.014,14.91,29.76,0.154,5.53,5.25,97.8,0,,0,2000.035,2451557.1,2.464
J100157.3+101540,FITS,10 01 57.376,+10 15 40.98,0.014,5.3,7.56,0.14,4.44,2.48,112.8,0,,0,2000.041,2451559.3,1.514
J100030.2+100804,FITS,10 00 30.234,+10 08 04.71,0.014,7.28,8.44,0.149,2.42,1.87,149.2,1,g,0,2000.041,2451559.4,1.346
J100027.0+100644,FITS,10 00 27.093,+10 06 44.72,0.014,8.73,53.42,0.145,17.07,8.38,12.0,1,g,1,2000.041,2451559.6,1.137
J100108.7+100505,FITS,10 01 08.730,+10 05 05.59,0.014,8.37,29.04,0.149,11.83,5.6,115.2,1,g,1,2000.042,2451560.0,0.367
J100110.3+100459,FITS,10 01 10.336,+10 04 59.89,0.014,7.48,31.64,0.149,14.09,6.13,63.9,1,s,0,2000.042,2451560.0,0.374
J100041.6+100429,FITS,10 00 41.672,+10 04 29.09,0.014,9.36,10.44,0.15,2.22,1.38,157.6,0,,0,2000.042,2451559.9,0.28
J100220.0+100221,FITS,10 02 20.011,+10 02 21.78,0.014,5.47,11.09,0.148,6.02,4.93,107.4,0,,0,2000.042,2451560.0,0.329
J100221.2+100216,FITS,10 02 21.220,+10 02 16.36,0.014,1.68,4.23,0.147,12.13,1.15,90.4,2,g,0,2000.042,2451559.9,0.323
J100250.5+100029,FITS,10 02 50.579,+10 00 29.65,0.014,2.09,4.54,0.138,8.16,3.57,4.7,0,,0,2000.042,2451559.8,0.0
J100117.1+100028,FITS,10 01 17.116,+10 00 28.23,0.014,2.16,5.47,0.153,12.24,1.13,149.3,2,g,1,2000.043,2451560.3,0.494
